systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPBC31E1.04,pep12,E,E,22th_round_426,,,,,,,,,,,,,,,
SPBC31F10.04c,srb4,E,E,22th_round_419,,,,,,,,,,,,,,,
SPBC32C12.02,ste11,WT,V,20th_round_340,,96.0,88.0,0.92,43.0,1.0,0.98,1.072,1.058,1.064,1.042,1.037,1.041,1.052,1.065
SPBC32F12.01c,css1,"E,small colonies",E,22th_round_462,22th_round_462_#LV815?: 有4个 deletion 克隆长起来且不小,,,,,,,,,,,,,,
SPBC32F12.11,tdh1,small colonies,V,13th_round_163,13th_round_163_#1: 克隆红色鲜艳;13th_round_163_#4: 克隆红色鲜艳,96.0,88.0,0.92,41.0,3.0,0.93,0.751,0.858,0.891,0.934,0.738,0.814,0.869,0.886
SPBC336.01,fbh1,very small colonies,V,22th_round_364,22th_round_364_#1: 克隆可见但很小,52.0,40.0,0.77,9.0,11.0,0.45,0.0,,,0.0,0.004,,,0.016
SPBC336.11,vps52,E,E,19th_round_326,,,,,,,,,,,,,,,
SPBC337.10c,dre2,E,E,1st_round_13,,,,,,,,,,,,,,,
SPBC354.10,def1,small colonies,V,"17th_round_281,23th_round_281",,192.0,184.0,0.96,92.0,0.0,1.0,0.78,0.886,0.929,0.936,0.83,0.861,0.89,0.911
SPBC359.02,alr2,WT,V,15th_round_180,,48.0,44.0,0.92,15.0,7.0,0.68,1.006,0.976,0.968,0.972,0.992,0.991,0.983,0.816
SPBC36.07,elp1,E,E,7th_round_107,,,,,,,,,,,,,,,
SPBC365.03c,rpl2101,small colonies,V,13th_round_164,,96.0,84.0,0.88,42.0,0.0,1.0,0.0,0.091,0.13,0.165,0.0,0.095,0.132,0.168
SPBC365.13c,hba1,small colonies,V,8th_round_108,,96.0,92.0,0.96,46.0,0.0,1.0,0.119,0.235,0.299,0.33,0.108,0.236,0.295,0.33
SPBC365.14c,uge1,small colonies,V,22th_round_376,,52.0,52.0,1.0,26.0,0.0,1.0,0.017,,,0.18,0.019,,,0.171
SPBC36B7.03,sec63,E,E,22th_round_446,,,,,,,,,,,,,,,
SPBC36B7.09,gcn2,WT,V,20th_round_341,,96.0,84.0,0.88,41.0,1.0,0.98,1.012,1.073,1.166,1.252,1.014,1.047,1.073,1.102
SPBC3B9.13c,rpp102,small colonies,V,"8th_round_109,17th_round_282",,192.0,184.0,0.96,86.0,6.0,0.93,0.101,0.321,0.359,0.35,0.177,0.323,0.361,0.376
SPBC3B9.14c,mrpl3,E,E,22th_round_414,22th_round_414_#LV540: 克隆部分轻微可见,,,,,,,,,,,,,,
SPBC3D6.08c,lsm1,E,E,8th_round_110,,,,,,,,,,,,,,,
SPBC3D6.11c,slx8,E,E,15th_round_181,,,,,,,,,,,,,,,
SPBC3E7.10,fma1,small colonies,V,17th_round_283,,96.0,88.0,0.92,44.0,0.0,1.0,0.717,0.698,0.696,0.723,0.711,0.711,0.733,0.752
SPBC3F6.03,trr1,small colonies,V,8th_round_111,,96.0,88.0,0.92,42.0,2.0,0.95,0.028,0.136,0.188,0.245,0.025,0.126,0.192,0.242
SPBC3F6.05,rga1,small colonies,V,22th_round_399,,52.0,52.0,1.0,25.0,1.0,0.96,0.0,,,0.117,0.001,,,0.13
SPBC3H7.07c,ser2,small colonies,V,22th_round_369,,52.0,48.0,0.92,20.0,4.0,0.83,0.0,,,0.14,0.01,,,0.148
SPBC405.07,rpl3602,small colonies,V,8th_round_112,,96.0,84.0,0.88,42.0,0.0,1.0,0.123,0.244,0.287,0.312,0.112,0.243,0.298,0.331
SPBC409.20c,shr3,small colonies,V,8th_round_113,,96.0,76.0,0.79,37.0,1.0,0.97,0.448,0.683,0.771,0.841,0.646,0.72,0.764,0.799
SPBC428.02c,eca39,small colonies,V,22th_round_448,,48.0,48.0,1.0,24.0,0.0,1.0,0.149,,,0.142,0.12,,,0.15
SPBC460.03,vba2,WT,V,16th_round_223,,48.0,44.0,0.92,22.0,0.0,1.0,0.999,1.093,1.108,1.112,0.985,0.976,0.998,0.963
SPBC4B4.06,vps25,small colonies,V,17th_round_284,,96.0,96.0,1.0,47.0,1.0,0.98,0.068,0.172,0.248,0.304,0.077,0.158,0.217,0.262
SPBC4F6.10,vps901,WT,V,17th_round_285,,96.0,88.0,0.92,41.0,3.0,0.93,0.937,0.914,0.919,0.961,0.876,0.875,0.873,0.874
SPBC56F2.02,rpl1901,small colonies,V,1st_round_14,,96.0,96.0,1.0,46.0,2.0,0.96,0.0,0.077,0.132,0.152,0.002,0.073,0.126,0.151
SPBC56F2.04,utp20,E,E,22th_round_441,,,,,,,,,,,,,,,
SPBC56F2.12,ilv5,small colonies,V,1st_round_15,,96.0,92.0,0.96,38.0,8.0,0.83,0.0,0.031,0.089,0.122,0.067,0.092,0.121,0.153
SPBC577.04,tho5,"E,small colonies",E,8th_round_114,8th_round_114_#1: 克隆部分可见但转印后长的不错;8th_round_114_#2: 克隆部分可见但转印后长的不错,96.0,84.0,0.88,28.0,14.0,0.67,0.0,0.0,0.0,0.016,0.0,0.001,0.009,0.026
SPBC577.06c,stt4,E,E,22th_round_442,,,,,,,,,,,,,,,
SPBC646.09c,int6,small colonies,V,17th_round_286,,96.0,96.0,1.0,45.0,3.0,0.94,0.353,0.42,0.458,0.472,0.349,0.411,0.445,0.472
SPBC646.13,sds23,small colonies,V,22th_round_451,,48.0,48.0,1.0,22.0,2.0,0.92,0.045,,,0.25,0.043,,,0.243
SPBC685.07c,rpl2701,small colonies,V,8th_round_115,,96.0,80.0,0.83,38.0,2.0,0.95,0.0,0.019,0.046,0.072,0.0,0.019,0.046,0.073
SPBC6B1.04,mde4,small colonies,V,8th_round_116,,48.0,48.0,1.0,24.0,0.0,1.0,0.299,0.369,0.435,0.467,0.298,0.375,0.424,0.463
SPBC6B1.09c,nbs1,small colonies,V,8th_round_117,,96.0,96.0,1.0,48.0,0.0,1.0,0.11,0.17,0.189,0.189,0.097,0.161,0.183,0.196
SPBC725.08,pir2,E,E,16th_round_215,,,,,,,,,,,,,,,
SPBC776.03,hom6,small colonies,V,22th_round_447,,48.0,44.0,0.92,21.0,1.0,0.95,0.0,,,0.046,0.0,,,0.045
SPBC776.04,sec2302,small colonies,V,22th_round_365,,52.0,52.0,1.0,20.0,6.0,0.77,0.0,,,0.096,0.0,,,0.167
SPBC800.07c,tsf1,small colonies,V,17th_round_287,,96.0,88.0,0.92,41.0,3.0,0.93,0.24,0.265,0.27,0.264,0.232,0.251,0.25,0.244
SPBC800.10c,ede1,small colonies,V,9th_round_118,,96.0,88.0,0.92,39.0,5.0,0.89,0.0,0.054,0.104,0.119,0.005,0.055,0.104,0.13
SPBC839.05c,rps1701,small colonies,V,9th_round_119,,96.0,92.0,0.96,46.0,0.0,1.0,0.314,0.481,0.511,0.52,0.309,0.48,0.525,0.545
SPBC887.05c,cwf29,"E,small colonies",E,22th_round_377,22th_round_377_#LV385: 克隆可见但很小,52.0,44.0,0.85,13.0,9.0,0.59,0.0,,,0.019,0.001,,,0.019
SPBC887.17,SPBC887.17,small colonies,V,16th_round_224,,96.0,84.0,0.88,42.0,0.0,1.0,0.115,0.257,0.322,0.379,0.134,0.259,0.318,0.372
SPBC8D2.05c,sfi1,E,E,"16th_round_216,22th_round_413",,,,,,,,,,,,,,,
SPBC8D2.07c,sfc9,WT,V,22th_round_408,,,,,,,,,,,,,,,
SPBC8D2.17,gmh4,small colonies,V,17th_round_289,,96.0,96.0,1.0,48.0,0.0,1.0,0.485,0.524,0.564,0.61,0.498,0.533,0.561,0.59
SPBC8D2.18c,sah1,small colonies,V,22th_round_401,,52.0,48.0,0.92,22.0,2.0,0.92,0.0,,,0.13,0.001,,,0.122
SPBC947.02,apl2,small colonies,V,13th_round_165,,96.0,96.0,1.0,40.0,8.0,0.83,0.043,0.174,0.259,0.258,0.083,0.18,0.256,0.285
SPBC947.13,rba50,E,E,1st_round_16,,,,,,,,,,,,,,,
SPBC9B6.07,nop52,small colonies,V,9th_round_120,,96.0,92.0,0.96,46.0,0.0,1.0,0.213,0.323,0.354,0.366,0.184,0.298,0.345,0.375
SPBP16F5.07,apm1,small colonies,V,22th_round_360,,,,,,,,,,,,,,,
SPBP16F5.08c,fmo1,WT,V,17th_round_290,,96.0,80.0,0.83,37.0,3.0,0.93,0.974,0.991,0.953,0.932,0.896,0.905,0.905,0.902
SPBP19A11.01,gcv3,very small colonies,V,20th_round_342,20th_round_342_#1: 克隆轻微可见;20th_round_342_#2: 克隆轻微可见,96.0,96.0,1.0,45.0,3.0,0.94,0.0,0.0,0.01,0.018,0.0,0.0,0.01,0.016
SPBP22H7.08,rps1002,small colonies,V,9th_round_121,,96.0,88.0,0.92,39.0,5.0,0.89,0.014,0.159,0.227,0.266,0.011,0.142,0.217,0.264
SPBP35G2.07,ilv1,small colonies,V,1st_round_17,,96.0,92.0,0.96,45.0,1.0,0.98,0.129,0.192,0.217,0.231,0.087,0.131,0.163,0.191
SPBP35G2.08c,air1,small colonies,V,9th_round_122,,48.0,36.0,0.75,18.0,0.0,1.0,0.016,0.123,0.202,0.233,0.022,0.129,0.208,0.253
SPBP35G2.09,usp103,E,E,15th_round_182,,,,,,,,,,,,,,,
SPBP4H10.03,oxa102,small colonies,V,20th_round_343,20th_round_343_#1: 克隆可见且形状不规则;20th_round_343_#2: 克隆可见且形状不规则,96.0,88.0,0.92,41.0,3.0,0.93,0.012,0.033,0.058,0.084,0.017,0.036,0.057,0.079
SPBP8B7.22,erd2,very small colonies,V,9th_round_123,9th_round_123_#1: 极少数deletion长了一点;9th_round_123_#2: 极少数deletion长了一点,96.0,88.0,0.92,8.0,36.0,0.18,0.0,0.0,0.0,0.0,0.006,0.01,0.01,0.011
SPCC1020.01c,pma2,small colonies,V,22th_round_455,,96.0,56.0,0.58,20.0,8.0,0.71,0.379,,,0.623,0.398,,,0.59
SPCC1223.07c,drs1,E,E,22th_round_457,,,,,,,,,,,,,,,
SPCC1235.04c,nad1,E,E,9th_round_124,,,,,,,,,,,,,,,
SPCC1259.01c,rps1802,small colonies,V,13th_round_166,13th_round_166_#1: 克隆可见但转印后长的不错;13th_round_166_#2: 克隆可见但转印后长的不错,96.0,76.0,0.79,33.0,5.0,0.87,0.0,0.0,0.025,0.058,0.0,0.0,0.022,0.054
SPCC1259.07,rxt3,E,E,22th_round_402,22th_round_402_#LV492: 克隆部分轻微可见,,,,,,,,,,,,,,
SPCC1281.05,rsc7,E,E,20th_round_344,,,,,,,,,,,,,,,
SPCC1393.03,rps1501,small colonies,V,9th_round_125,,96.0,84.0,0.88,39.0,3.0,0.93,0.238,0.423,0.473,0.479,0.222,0.416,0.474,0.51
SPCC1393.07c,mug4,E,E,17th_round_291,,,,,,,,,,,,,,,
SPCC13B11.01,adh1,small colonies,V,22th_round_445,,,,,,,,,,,,,,,
SPCC1494.04c,tyr1,very small colonies,V,13th_round_167,13th_round_167_#1: 克隆部分轻微可见;13th_round_167_#2: 克隆部分轻微可见,96.0,96.0,1.0,17.0,31.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
SPCC1620.14c,snf22,small colonies,V,"17th_round_292,23th_round_292",,96.0,92.0,0.96,46.0,0.0,1.0,0.481,0.516,0.575,0.58,0.484,0.53,0.572,0.597
SPCC1672.01,SPCC1672.01,E,E,20th_round_345,,,,,,,,,,,,,,,
SPCC1682.16,rpt4,E,E,1st_round_18,,,,,,,,,,,,,,,
SPCC16A11.07,coq10,small colonies,V,20th_round_346,,96.0,88.0,0.92,43.0,1.0,0.98,0.587,0.578,0.558,0.52,0.576,0.572,0.561,0.541
SPCC16A11.17,mcm4,E,E,16th_round_196,,,,,,,,,,,,,,,
SPCC16C4.12,naa20,small colonies,V,9th_round_126,9th_round_126_#1: 克隆部分可见但转印后难长;9th_round_126_#2: 克隆部分可见但转印后难长,48.0,44.0,0.92,21.0,1.0,0.95,0.0,0.0,0.015,0.033,0.02,0.003,0.016,0.033
SPCC16C4.14c,sfc4,E,E,9th_round_127,,,,,,,,,,,,,,,
SPCC1739.14,npp106,small colonies,V,10th_round_128,,96.0,88.0,0.92,43.0,1.0,0.98,0.046,0.283,0.38,0.463,0.047,0.264,0.358,0.427
SPCC1739.15,wtf21,WT,V,20th_round_347,,96.0,76.0,0.79,33.0,5.0,0.87,0.954,0.966,0.979,0.962,0.831,0.833,0.833,0.837
SPCC1795.03,gms1,small colonies,V,10th_round_129,,96.0,64.0,0.67,30.0,2.0,0.94,0.0,0.082,0.133,0.163,0.005,0.081,0.136,0.178
SPCC18.14c,rpp0,E,E,22th_round_433,,,,,,,,,,,,,,,
SPCC18.17c,SPCC18.17c,small colonies,V,22th_round_383,,52.0,52.0,1.0,26.0,0.0,1.0,0.412,,,0.481,0.394,,,0.443
SPCC1840.02c,bgs4,E,E,22th_round_453,,,,,,,,,,,,,,,
SPCC1906.02c,rqt3,small colonies,V,17th_round_293,,96.0,84.0,0.88,41.0,1.0,0.98,0.773,0.797,0.876,0.949,0.762,0.797,0.842,0.883
SPCC191.02c,acs1,E,E,1st_round_19,,,,,,,,,,,,,,,
SPCC1919.09,tif6,E,E,22th_round_450,,,,,,,,,,,,,,,
SPCC1919.10c,myo52,small colonies,V,22th_round_362,,52.0,52.0,1.0,25.0,1.0,0.96,0.021,,,0.279,0.034,,,0.286
SPCC1919.12c,erm2,WT,V,17th_round_294,,96.0,92.0,0.96,43.0,3.0,0.93,1.029,1.007,1.007,1.005,0.936,0.94,0.934,0.915
SPCC24B10.04,mrpl50,E,E,1st_round_20,,,,,,,,,,,,,,,
SPCC24B10.06,SPCC24B10.06,small colonies,V,10th_round_130,10th_round_130_#1: 克隆形状不规则;10th_round_130_#2: 克隆形状不规则,96.0,88.0,0.92,39.0,5.0,0.89,0.236,0.247,0.246,0.217,0.203,0.206,0.217,0.238
SPCC24B10.07,gad8,"E,small colonies",E,10th_round_131,10th_round_131_#1: 不都是一个长一个不长;10th_round_131_#2: 不都是一个长一个不长,96.0,92.0,0.96,24.0,22.0,0.52,0.0,0.0,0.0,0.014,0.002,0.019,0.028,0.037
SPCC24B10.12,cgi121,small colonies,V,10th_round_132,,96.0,92.0,0.96,46.0,0.0,1.0,0.325,0.431,0.505,0.544,0.333,0.44,0.511,0.547
SPCC24B10.18,SPCC24B10.18,small colonies,V,"16th_round_208,17th_round_295",,144.0,140.0,0.97,70.0,0.0,1.0,0.813,0.851,0.856,0.837,0.806,0.842,0.852,0.855
SPCC24B10.22,pog1,E,E,10th_round_134,10th_round_134_#1: 克隆部分轻微可见;10th_round_134_#2: 克隆部分轻微可见,96.0,96.0,1.0,3.0,45.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPCC285.14,trs130,E,E,10th_round_135,,,,,,,,,,,,,,,
SPCC285.15c,rps2802,small colonies,V,10th_round_136,,48.0,32.0,0.67,11.0,5.0,0.69,0.435,0.52,0.538,0.509,0.316,0.372,0.401,0.412
SPCC306.06c,big1,"E,small colonies",E,"16th_round_220,20th_round_348",16th_round_220_#1: 大部分一个长一个不长;16th_round_220_#2: 大部分一个长一个不长,192.0,176.0,0.92,41.0,47.0,0.47,0.0,0.0,0.0,0.0,0.07,0.127,0.16,0.18
SPCC31H12.08c,ccr4,small colonies,V,18th_round_310,,96.0,76.0,0.79,38.0,0.0,1.0,0.573,0.61,0.602,0.587,0.567,0.641,0.677,0.696
SPCC320.04c,gem1,small colonies,V,22th_round_389,,52.0,52.0,1.0,23.0,3.0,0.88,0.0,,,0.064,0.002,,,0.062
SPCC338.07c,naa15,small colonies,V,"10th_round_137,17th_round_298",17th_round_298_#1: 克隆可见但转印后难长;17th_round_298_#2: 克隆可见但转印后难长,192.0,160.0,0.83,75.0,5.0,0.94,0.053,0.093,0.119,0.122,0.048,0.082,0.105,0.111
SPCC364.07,ser3,"E,small colonies",E,22th_round_387,22th_round_387_#LV425: 克隆可见但很小，且大部分一个可见一个可见,52.0,44.0,0.85,13.0,9.0,0.59,0.0,,,0.006,0.0,,,0.012
SPCC4B3.05c,hem12,E,E,11th_round_138,,,,,,,,,,,,,,,
SPCC4G3.05c,mus81,small colonies,V,11th_round_139,,48.0,44.0,0.92,19.0,3.0,0.86,0.035,0.118,0.168,0.204,0.038,0.103,0.157,0.187
SPCC4G3.12c,SPCC4G3.12c,WT,V,17th_round_299,,96.0,92.0,0.96,46.0,0.0,1.0,0.994,1.052,1.07,1.084,1.007,1.017,1.02,1.018
SPCC4G3.16,rib2,E,E,15th_round_183,,,,,,,,,,,,,,,
SPCC553.01c,dbl2,small colonies,V,23th_round_300,23th_round_300_#1: 克隆可见但转印后难长;23th_round_300_#2: 克隆可见但转印后难长,96.0,68.0,0.71,34.0,0.0,1.0,0.551,0.554,0.529,0.507,0.556,0.555,0.525,0.504
SPCC553.08c,ria1,small colonies,V,11th_round_140,11th_round_140_#1: 克隆可见但转印后长的不错;11th_round_140_#2: 克隆可见但转印后长的不错,96.0,88.0,0.92,41.0,3.0,0.93,0.0,0.0,0.015,0.033,0.0,0.0,0.014,0.032
SPCC576.11,rpl15,small colonies,V,"13th_round_168,19th_round_327",,192.0,176.0,0.92,86.0,2.0,0.98,0.023,0.141,0.178,0.215,0.029,0.133,0.176,0.203
SPCC594.02c,SPCC594.02c,small colonies,V,18th_round_311,,48.0,48.0,1.0,23.0,1.0,0.96,0.828,0.855,0.844,0.848,0.797,0.806,0.817,0.829
SPCC594.04c,SPCC594.04c,small colonies,V,22th_round_394,22th_round_394_#LV453: 好像可以区分,52.0,48.0,0.92,22.0,2.0,0.92,0.714,,,0.741,0.67,,,0.695
SPCC5E4.07,rpl2802,small colonies,V,19th_round_328,,48.0,48.0,1.0,24.0,0.0,1.0,0.02,0.108,0.162,0.203,0.017,0.106,0.155,0.205
SPCC61.01c,str2,WT,V,15th_round_184,,48.0,28.0,0.58,14.0,0.0,1.0,0.922,0.977,1.137,1.25,0.939,1.036,1.004,1.108
SPCC61.02,spt3,very small colonies,V,17th_round_301,17th_round_301_#1: 克隆轻微可见;17th_round_301_#2: 克隆轻微可见,96.0,88.0,0.92,41.0,3.0,0.93,0.0,0.0,0.009,0.017,0.0,0.0,0.009,0.017
SPCC613.07,bcd1,small colonies,V,22th_round_391,,52.0,52.0,1.0,26.0,0.0,1.0,0.0,,,0.081,0.0,,,0.087
SPCC613.08,SPCC613.08,small colonies,V,13th_round_169,,48.0,44.0,0.92,22.0,0.0,1.0,0.038,0.106,0.16,0.183,0.033,0.097,0.162,0.192
SPCC613.11c,meu23,small colonies,V,17th_round_302,,96.0,96.0,1.0,44.0,4.0,0.92,0.78,0.814,0.87,0.898,0.705,0.764,0.782,0.772
SPCC645.04,nse3,E,E,20th_round_349,,,,,,,,,,,,,,,
SPCC645.07,rgf1,small colonies,V,22th_round_368,,,,,,,,,,,,,,,
SPCC663.01c,ekc1,small colonies,V,22th_round_352,,52.0,52.0,1.0,19.0,7.0,0.73,0.0,,,0.117,0.029,,,0.132
SPCC736.06,dar2,small colonies,V,20th_round_350,20th_round_350_#1: 克隆可见但转印后难长;20th_round_350_#2: 克隆可见但转印后难长,48.0,44.0,0.92,20.0,2.0,0.91,0.0,0.0,0.024,0.04,0.0,0.007,0.028,0.047
SPCC736.07c,uri1,E,E,13th_round_170,,,,,,,,,,,,,,,
SPCC777.07,omh3,"E,small colonies",E,"11th_round_141,17th_round_303",11th_round_141_#1: 克隆形状不规则且不都是一个长一个不长;11th_round_141_#2: 克隆形状不规则且不都是一个长一个不长;17th_round_303_#3: 克隆形状不规则且一半一个长一个不长;17th_round_303_#4: 克隆形状不规则且一半一个长一个不长,192.0,164.0,0.85,44.0,38.0,0.54,0.0,0.007,0.007,0.011,0.01,0.025,0.037,0.048
SPCC777.10c,ubc12,E,E,22th_round_415,,,,,,,,,,,,,,,
SPCC965.03,vma8,E,E,16th_round_212,,,,,,,,,,,,,,,
SPCC965.05c,thp1,WT,V,17th_round_304,,96.0,84.0,0.88,38.0,4.0,0.9,0.938,0.98,1.031,1.094,0.849,0.88,0.912,0.934
SPCC970.05,rpl3601,small colonies,V,22th_round_378,,52.0,52.0,1.0,26.0,0.0,1.0,0.064,,,0.218,0.057,,,0.219
SPCP1E11.05c,are2,small colonies,V,17th_round_305,,96.0,88.0,0.92,44.0,0.0,1.0,0.49,0.501,0.537,0.543,0.469,0.482,0.51,0.532
SPCP1E11.08,nsa2,E,E,22th_round_430,,,,,,,,,,,,,,,
SPCP31B10.07,eft202,small colonies,V,11th_round_142,,96.0,96.0,1.0,47.0,1.0,0.98,0.742,0.753,0.813,0.9,0.771,0.728,0.768,0.778
